left	right	left_type	right_type
bm_tre_2	bracket	modifier__symbol	bracket__symbol
bm_tre_2	bm_ibi	modifier__symbol	modifier__symbol
bm_tre_2	bm_iri	modifier__symbol	modifier__symbol
bm_tre_2	bm_tbi	modifier__symbol	modifier__symbol
bm_tre_2	bm_tri	modifier__symbol	modifier__symbol
bm_tre_2	bm_ibe_2	modifier__symbol	modifier__symbol
bm_tre_2	bm_ire_2	modifier__symbol	modifier__symbol
bm_tre_2	bm_iri_3	modifier__symbol	modifier__symbol
bm_tre_2	bm_ire_4	modifier__symbol	modifier__symbol
bm_tre_2	bm_tbe_2	modifier__symbol	modifier__symbol
bm_tre_2	bm_tre_2	modifier__symbol	modifier__symbol
bm_tre_2	bm_tre_4	modifier__symbol	modifier__symbol
bm_tre_2	bm_tri_3	modifier__symbol	modifier__symbol
bm_tre_2	ct	modifier__symbol	cis_trans__symbol
bm_tre_4	atom_oar	modifier__symbol	atom__symbol
bm_tre_4	atom_oal	modifier__symbol	atom__symbol
bm_tre_4	atom_oal_2	modifier__symbol	atom__symbol
bm_tre_4	anything	modifier__symbol	anything__symbol
bm_tre_4	bracket	modifier__symbol	bracket__symbol
bm_tre_4	bm_ibi	modifier__symbol	modifier__symbol
bm_tre_4	bm_iri	modifier__symbol	modifier__symbol
bm_tre_4	bm_tbi	modifier__symbol	modifier__symbol
bm_tre_4	bm_tri	modifier__symbol	modifier__symbol
bm_tre_4	bm_ibe_2	modifier__symbol	modifier__symbol
bm_tre_4	bm_ire_2	modifier__symbol	modifier__symbol
bm_tre_4	bm_iri_3	modifier__symbol	modifier__symbol
bm_tre_4	bm_ire_4	modifier__symbol	modifier__symbol
bm_tre_4	bm_tbe_2	modifier__symbol	modifier__symbol
bm_tre_4	bm_tre_2	modifier__symbol	modifier__symbol
bm_tre_4	bm_tre_4	modifier__symbol	modifier__symbol
bm_tre_4	bm_tri_3	modifier__symbol	modifier__symbol
bm_tre_4	ct	modifier__symbol	cis_trans__symbol
bm_tri_3	atom_oar	modifier__symbol	atom__symbol
bm_tri_3	atom_oal	modifier__symbol	atom__symbol
bm_tri_3	atom_oal_2	modifier__symbol	atom__symbol
bm_tri_3	anything	modifier__symbol	anything__symbol
bm_tri_3	bracket	modifier__symbol	bracket__symbol
bm_tri_3	bm_ibi	modifier__symbol	modifier__symbol
bm_tri_3	bm_iri	modifier__symbol	modifier__symbol
bm_tri_3	bm_tbi	modifier__symbol	modifier__symbol
bm_tri_3	bm_tri	modifier__symbol	modifier__symbol
bm_tri_3	bm_ibe_2	modifier__symbol	modifier__symbol
bm_tri_3	bm_ire_2	modifier__symbol	modifier__symbol
bm_tri_3	bm_iri_3	modifier__symbol	modifier__symbol
bm_tri_3	bm_ire_4	modifier__symbol	modifier__symbol
bm_tri_3	bm_tbe_2	modifier__symbol	modifier__symbol
bm_tri_3	bm_tre_2	modifier__symbol	modifier__symbol
bm_tri_3	bm_tre_4	modifier__symbol	modifier__symbol
bm_tri_3	bm_tri_3	modifier__symbol	modifier__symbol
bm_tri_3	ct	modifier__symbol	cis_trans__symbol
ct	atom_oar	cis_trans__symbol	atom__symbol
ct	atom_oal	cis_trans__symbol	atom__symbol
ct	atom_oal_2	cis_trans__symbol	atom__symbol
ct	anything	cis_trans__symbol	anything__symbol
ct	bracket	cis_trans__symbol	bracket__symbol
ct	bm_ibi	cis_trans__symbol	modifier__symbol
ct	bm_iri	cis_trans__symbol	modifier__symbol
ct	bm_tbi	cis_trans__symbol	modifier__symbol
ct	bm_tri	cis_trans__symbol	modifier__symbol
ct	bm_ibe_2	cis_trans__symbol	modifier__symbol
ct	bm_ire_2	cis_trans__symbol	modifier__symbol
ct	bm_iri_3	cis_trans__symbol	modifier__symbol
ct	bm_ire_4	cis_trans__symbol	modifier__symbol
ct	bm_tbe_2	cis_trans__symbol	modifier__symbol
ct	bm_tre_2	cis_trans__symbol	modifier__symbol
ct	bm_tre_4	cis_trans__symbol	modifier__symbol
ct	bm_tri_3	cis_trans__symbol	modifier__symbol
isotope	atom_bar	features__symbol	atom__symbol
isotope	atom_bal	features__symbol	atom__symbol
isotope	atom_bar_2	features__symbol	atom__symbol
isotope	atom_bal_2	features__symbol	atom__symbol
isotope_m	atom_bar	features__symbol	atom__symbol
isotope_m	atom_bal	features__symbol	atom__symbol
isotope_m	atom_bar_2	features__symbol	atom__symbol
isotope_m	atom_bal_2	features__symbol	atom__symbol
isotope_m	isotope_m	features__symbol	features__symbol
chiral	bracket	features__symbol	bracket__symbol
chiral	hydro	features__symbol	features__symbol
chiral	hydro_2	features__symbol	features__symbol
chiral	charge	features__symbol	features__symbol
chiral	charge_2	features__symbol	features__symbol
chiral	charge_m	features__symbol	features__symbol
chiral	class_m	features__symbol	features__symbol
chiral_2	bracket	features__symbol	bracket__symbol
chiral_2	chiral_2	features__symbol	features__symbol
chiral_2	hydro	features__symbol	features__symbol
chiral_2	hydro_2	features__symbol	features__symbol
chiral_2	charge	features__symbol	features__symbol
chiral_2	charge_2	features__symbol	features__symbol
chiral_2	charge_m	features__symbol	features__symbol
chiral_2	class_m	features__symbol	features__symbol
chiral_m	bracket	features__symbol	bracket__symbol
chiral_m	chiral_m	features__symbol	features__symbol
chiral_m	hydro	features__symbol	features__symbol
chiral_m	hydro_2	features__symbol	features__symbol
chiral_m	charge	features__symbol	features__symbol
chiral_m	charge_2	features__symbol	features__symbol
chiral_m	charge_m	features__symbol	features__symbol
chiral_m	class_m	features__symbol	features__symbol
hydro	bracket	features__symbol	bracket__symbol
hydro	charge	features__symbol	features__symbol
hydro	charge_2	features__symbol	features__symbol
hydro	charge_m	features__symbol	features__symbol
hydro	class_m	features__symbol	features__symbol
hydro_2	bracket	features__symbol	bracket__symbol
hydro_2	hydro_2	features__symbol	features__symbol
hydro_2	charge	features__symbol	features__symbol
hydro_2	charge_2	features__symbol	features__symbol
hydro_2	charge_m	features__symbol	features__symbol
hydro_2	class_m	features__symbol	features__symbol
charge	bracket	features__symbol	bracket__symbol
charge	class_m	features__symbol	features__symbol
charge_2	bracket	features__symbol	bracket__symbol
charge_2	charge_2	features__symbol	features__symbol
charge_2	class_m	features__symbol	features__symbol
charge_m	bracket	features__symbol	bracket__symbol
charge_m	charge_m	features__symbol	features__symbol
charge_m	class_m	features__symbol	features__symbol
class_m	bracket	features__symbol	bracket__symbol
class_m	class_m	features__symbol	features__symbol
